锄 钅且力
雏 ⺈彐隹
刍 ⺈彐
滁 氵阝人
除 阝人
楮 木者
楚 木木乛
杵 木𠂉十
础 石屮凵
储 亻讠者
禇 礻者
褚 衤者
亍 一丁
搐 扌亠ㄥ厶田
矗 十十十
黜 󰀹土灬屮凵
触 ⺈用虫
处 夂卜
憷 忄木木乛
怵 忄木丶
绌 纟屮凵
搋 扌⺁虎
揣 扌山而
嘬 口日耳又
啜 口又又又又
踹 ⻊山而
氚 气川
川 川
穿 穴牙
巛 巛
椽 木󰅂豕
传 亻二ㄅ丶
舡 舟工
船 舟几口
遄 辶山而
喘 口山而
舛 夕
串 口口丨
钏 钅川
囱 󰅉夂
疮 疒人⺋
窗 穴󰅉夂
床 广木
创 人⺋刂
怆 忄人⺋
吹 口欠
炊 火欠
捶 扌千艹二
搥 扌辶ノ󰃧
棰 木千艹二
槌 木辶ノ󰃧
垂 千艹二
倕 亻千艹二
锤 钅千艹二
陲 阝千艹二
春 春
椿 木春
蝽 虫春
莼 艹纟七凵
醇 酉亠口子
唇 辰口
鹑 亠口子鸟
淳 氵亠口子
纯 纟七凵
蠢 春虫虫
踔 ⻊┝ 日十
戳 习习隹戈
辍 车又又又又
龊 齿足
辶 辶
绰 纟┝ 日十
呲 口止匕
疵 疒止匕
茈 艹止匕
茨 艹冫欠
磁 石ㄥㄥ厶ㄥ厶
雌 止󰁴隹
辞 舌辛
词 讠𠃌一口
瓷 冫欠一乙丶
鹚 ㄥㄥ厶ㄥ厶鸟
慈 ㄥㄥ厶ㄥ厶心
糍 米ㄥㄥ厶ㄥ厶
祠 礻𠃌一口
此 止匕
泚 氵止匕
刺 木冂刂
赐 贝日勹
次 冫欠
璁 王󰅉夂心
聪 耳丷口心
苁 艹人人
葱 艹勹丶心
枞 木人人
从 人人
匆 勹丶
骢 马󰅉夂心
琮 王宀示
丛 人人一
悰 忄宀示
淙 氵宀示
楱 木一大
辏 车一大
腠 月一大
凑 冫一大
粗 米且
殂 一夕且
徂 彳且
蔟 艹方𠂉矢
醋 酉󰁺日
酢 酉𠂉𠂉
蹙 戊上小足
蹴 ⻊亠口小尤
簇 ⺮方𠂉矢
促 亻足
猝 犭亠人人十
撺 扌穴口口
蹿 ⻊穴口口丨
汆 入水
镩 钅穴口口丨
篡 ⺮目大厶
爨 同木木大火
窜 穴口口丨
摧 扌山隹
榱 木亠󰀔󰀔
崔 山隹
催 亻山隹
璀 王山隹
萃 艹亠人人十
啐 口亠人人十
毳 毛毛毛
脆 月⺈厂⺋
瘁 疒亠人人十
悴 忄亠人人十
