⺁	⺁丿丿
熱	土八土灬
熲	匕火丆貝
熳	火曰罒又
熴	火山曰󰁴
熵	火亠丷口
熶	火曰耳又
熷	火丷󰀺日
熸	火󰀄󰁜日
熹	士口䒑灬
熺	火士口口
熻	火人一羽
熼	火田󰁺八
熽	火󰁬十󰀲
熾	火亠丷日
熿	火󰁺由八
燀	火口口十
燁	火艹一󰀟
燂	火覀早󰀢
燃	火󰁝犬灬
燄	⺈臼火火
燅	土八土火
燆	火丿大口
燇	火丷西寸
燈	火癶一䒑
燉	火󰁸孑攵
燊	火火火木
燋	火亻󰁷灬
燌	火十艹貝
燍	火󰀎八斤
燎	火大丷小
燏	火󰁻乛口
燐	火米夕㐄
燑	火立曰土
燒	火土土儿
燓	木乂乂火
燔	火丿米田
燕	廿口丬灬
燖	火彐工寸
燗	火門月󰀝
燘	火門文󰁶
燙	氵曰一火
燚	火火火火
燛	󰁃丨匚火
燜	火門心󰁶
燝	火曰󰁸小
燞	亻󰁷⺈灬
營	火火冖口
燠	火丿ㄇ大
燡	火罒土十
燢	󰀗乂乂火
燣	火亠囗禾
燤	火艹曰丶
燥	火口口木
燦	火󰀥夕米
燧	火䒑󰀓辶
燨	火丷王丶
燩	火白方攵
燪	火艹勹心
燫	火广䒑八
燬	火臼工又
燭	火罒勹虫
燮	言火火又
燯	火󰀙人󰁻
燰	火爫冖夂
燱	火立曰心
燲	火力力貝
燳	火日刀灬
燴	火人一日
燵	火土羊辶
燶	火ㄇ󰁺󰀖
燷	火亠囗小
燸	火󰀙丆〢
燹	一󰀓一火
燺	火󰁸冂木
燻	火丿一灬
燼	火󰁬丨皿
燽	火士乛寸
燾	士乛工灬
燿	火羽亻󰁷
爀	火土󰁖󰁖
爁	火匚丨皿
爂	󰀗ㄇ一火
爃	火火火木
爄	火厂艹丶
爅	火󰀹土土
爆	火曰󰁺氺
爇	艹土八灬
爈	火虍田心
爉	火巛囗󰁒
爊	火󰁙󰁴灬
爋	火丿一力
爌	火广󰁺八
爍	火白幺木
爎	火宀大小
爏	火厂禾止
爐	火虍田皿
爑	火艹亻灬
爒	󰁝火大小
爓	火門⺈臼
爔	火丷王丶
爕	言火火火
爖	火立月三
爗	火曰艹一
爘	火󰀥夕艮
爙	火亠口󰀔
爚	火人一艹
爛	火門木󰀹
爜	火业䒑又
爝	火爫罒寸
爞	火虫虫虫
爟	火艹口󰁷
爠	火目目󰁷
爡	火艹曰虫
爢	广木木灬
爣	火⺌冖灬
爤	火艹門󰀹
爥	火尸氺虫
爦	火匚丨儿
爧	火󰀙口人
爨	󰀗ㄇ一火
爩	火木𠂉彡
爪	⺁丨󰂃󰀦
爫	爫丿丶丿
爬	⺁丨󰂃巴
爭	爫󰁬亅󰀬
爮	⺁丨󰂃巳
爯	爫冂土󰀘
爰	爫一又
爱	爫冖又
爲	爫丿乛灬
爳	爫丿乛了
爴	囗戈口󰂃
爵	爫罒󰁮寸
父	八乂󰁧
爷	八乂卩󰀬
爸	八乂巴󰀅
爹	八乂夕夕
爺	八乂耳阝
爻	乂乂󰁧
爼	乂乂󰀐一
爽	大乂乂乂
爾	一八冂乂
爿	爿󰄃丨丿
牀	爿木󰁶
牁	爿丁口󰀝
牂	爿羊󰀢
牃	爿廿󰄃木
牄	爿人丶口
牅	爿广󰁬丨
牆	爿土人口
片	丿丨一󰁈
版	丿丨一又
牉	丿丨一󰀟
牊	丿丨一口
牋	丿丨一戈
牌	丿丨一十
牍	丿丨一大
牎	丿丨一󰁈
牏	丿丨一刂
牐	丿丨一臼
牑	丿丨一艹
牒	丿丨一木
牓	丿丨一方
牔	丿丨一寸
牕	丿丨一󰁈
牖	丿丨一甫
牗	丿丨一丨
牘	丿丨一貝
牙	󰀄亅丿󰀏
牚	⺌冖口丿
牛	丿󰀟󰀵
牜	牜丿一󰀞
牝	牜匕󰁀
牞	牜力󰁥
牟	厶丿󰀟󰀬
牠	牜也󰁀
牡	牜土󰀝
牢	宀丿󰀟󰀬
牣	牜刀丶󰁶
牤	牜亠󰄃󰁀
牥	牜方󰁥
牦	牜毛󰁀
牧	牜攵󰁶
牨	牜亠几󰁀
物	牜勹󰁤󰁥
牪	牜丿󰀟󰀢
牫	牜戈󰁶
牬	牜丿ㄅ丿
牭	牜四󰀝
牮	亻󰀁丶󰀟
牯	牜古󰀝
牰	牜由󰀝
牱	牜丁口󰀝
牲	牜丿󰀝
牳	牜母󰁶
牴	牜󰁚󰀁丶
牵	大冖丿󰀟
牶	丷夫丿󰀟
牷	牜人王󰀝
牸	牜宀子󰀝
特	牜土寸󰁶
牺	牜西󰀝
牻	牜乚丶
牼	牜一巛工
牽	亠幺冖󰀟
牾	牜五口󰀝
牿	牜丿土口
犀	尸氺丿󰀟
犁	禾刂丿󰀟
犂	禾勹丿󰀟
犃	牜立口󰀝
犄	牜大丁口
犅	牜冂䒑山
犆	牜十󰀣󰀝
犇	丿󰀟牜󰀟
犈	牜丷夫⺋
犉	牜󰁸子󰀝
犊	牜十乛大
犋	牜󰀣八󰁶
犌	牜󰁃丨又
犍	牜󰁬󰀟廴
犎	土土寸󰀟
犏	牜丶尸艹
犐	牜禾󰁦十
犑	牜目犬󰁶
犒	牜󰁸冂口
犓	牜勹凵丿
犔	牜气米󰁶
犕	牜󰁺丿用
犖	火火冖󰀟
犗	牜宀三口
犘	广木木󰀟
犙	牜厶厶彡
犚	尸二小󰀟
犛	未攵厂󰀟
犜	牜󰁸孑攵
犝	牜立曰土
犞	牜丿大口
犟	弓口虫󰀟
犠	牜丷王丶
犡	牜厂艹丶
犢	牜士罒貝
犣	牜巛囗󰁒
犤	牜罒厶匕
犥	牜󰁙󰁴灬
犦	牜曰󰁺氺
犧	牜丷王丶
犨	亻󰁷亻󰀟
犩	禾女白󰀟
犪	牜䒑丿夂
犫	亻󰁷言󰀟
犬	犬一丿丶
犭	犭󰁥丿丿
犮	又丶󰀦
犯	犭󰁥⺋󰁀
犰	犭󰁥九󰁀
犱	犭󰁥九丶
犲	犭󰁥󰀛丿
犳	犭󰁥勹丶
犴	犭󰁥干󰀢
犵	犭󰁥𠂉乙
状	丬犬󰁶
犷	犭󰁥广󰁥
犸	犭󰁥󰀊一
犹	犭󰁥丶
犺	犭󰁥亠几
犻	犭󰁥一丨
犼	犭󰁥孑乚
犽	犭󰁥󰀄丿
犾	犭󰁥犬󰁶
犿	犭󰁥亠卜
狀	爿犬󰁶
狁	犭󰁥厶儿
狂	犭󰁥王󰀝
狃	犭󰁥󰁈一
狄	犭󰁥火󰁶
狅	犭󰁥丿士
狆	犭󰁥口丨
狇	犭󰁥木󰁶
狈	犭󰁥贝󰁶
狉	犭󰁥丆一
狊	目犬󰁧
狋	犭󰁥二小
狌	犭󰁥丿
狍	犭󰁥勹巳
狎	犭󰁥甲󰀢
狏	犭󰁥𠂉也
狐	犭󰁥⺁󰂃
狑	犭󰁥人󰁻
狒	犭󰁥弓󰀯
狓	犭󰁥皮󰁶
狔	犭󰁥尸匕
狕	犭󰁥幺力
狖	犭󰁥宀八
狗	犭󰁥勹口
狘	犭󰁥戈󰁐
狙	犭󰁥󰀐一
狚	犭󰁥日一
狛	犭󰁥白󰀝
狜	犭󰁥古󰀝
狝	犭󰁥⺈小
狞	犭󰁥宀丁
狟	犭󰁥一一
狠	犭󰁥艮󰁶
狡	犭󰁥六乂
狢	犭󰁥夂口
狣	犭󰁥儿󰀪
狤	犭󰁥士口
狥	犭󰁥勹日
狦	犭󰁥冂〢
狧	犭󰁥丿古
狨	犭󰁥戈
狩	犭󰁥宀寸
狪	犭󰁥冂口
狫	犭󰁥土匕
独	犭󰁥虫󰁶
狭	犭󰁥一大
狮	犭󰁥リ丨
狯	犭󰁥人厶
狰	犭󰁥⺈亅
狱	犭󰁥讠犬
狲	犭󰁥孑小
狳	犭󰁥人朩
狴	犭󰁥󰁴土
狵	犭󰁥丶
狶	犭󰁥乂丨
狷	犭󰁥口月
狸	犭󰁥曰土
狹	犭󰁥大人
狺	犭󰁥言󰀝
狻	犭󰁥厶夂
狼	犭󰁥丶艮
狽	犭󰁥貝󰁶
狾	犭󰁥扌斤
狿	犭󰁥丿廴
猀	犭󰁥氵丿
猁	犭󰁥禾刂
猂	犭󰁥曰干
猃	犭󰁥人一
猄	犭󰁥󰁸小
猅	犭󰁥丨三
猆	丨三丨三
猇	犭󰁥虍几
猈	犭󰁥白十
猉	犭󰁥󰀎八
猊	犭󰁥臼儿
猋	犬犬犬󰁧
猌	木人人犬
猍	犭󰁥木人
猎	犭󰁥󰁺曰
猏	犭󰁥丶月
猐	犭󰁥⺶乚
猑	犭󰁥曰匕
猒	曰月犬󰁶
猓	犭󰁥曰木
猔	犭󰁥宀小
猕	犭󰁥弓小
猖	犭󰁥曰曰
猗	犭󰁥大口
猘	犭󰁥𠂉刂
猙	犭󰁥爫亅
猚	犭󰁥亻󰁷
猛	犭󰁥子皿
猜	犭󰁥月
猝	犭󰁥亠十
猞	犭󰁥人口
猟	犭󰁥󰀧󰀟
猠	犭󰁥ㄇ八
猡	犭󰁥罒夕
猢	犭󰁥古月
猣	犭󰁥乂夂
猤	犭󰁥癶大
猥	犭󰁥田󰀖
猦	犭󰁥几虫
猧	犭󰁥ㄇ口
猨	犭󰁥爫又
猩	犭󰁥曰
猪	犭󰁥土日
猫	犭󰁥艹田
猬	犭󰁥田月
猭	犭󰁥彑󰀓
献	十冂䒑犬
猯	犭󰁥山〢
猰	犭󰁥三大
猱	犭󰁥󰁻木
猲	犭󰁥日󰄃
猳	犭󰁥󰁃又
猴	犭󰁥亻大
猵	犭󰁥丶艹
猶	犭󰁥丷一
猷	丷西一犬
猸	犭󰁥󰁅目
猹	犭󰁥木一
猺	犭󰁥爫凵
猻	犭󰁥孑小
猼	犭󰁥甫寸
猽	犭󰁥冖六
猾	犭󰁥󰀾月
猿	犭󰁥土󰀔
獀	犭󰁥臼又
獁	犭󰁥󰀋灬
獂	犭󰁥厂小
獃	山一口犬
獄	犭󰁥言犬
獅	犭󰁥丿丨
獆	犭󰁥白十
獇	犭󰁥⺶厶
獈	犭󰁥䒑皿
獉	犭󰁥三禾
獊	犭󰁥人口
獋	犭󰁥丿十
獌	犭󰁥曰又
獍	犭󰁥立儿
獎	爿󰁝寸犬
獏	犭󰁥艹大
獐	犭󰁥立早
獑	犭󰁥車斤
獒	󰁡攵犬
獓	犭󰁥攵
獔	犭󰁥白十
獕	犭󰁥山󰁷
獖	犭󰁥十貝
獗	犭󰁥厂人
獘	㡀攵犬󰁧
獙	犭󰁥㡀攵
獚	犭󰁥󰁺八
獛	犭󰁥业夫
獜	犭󰁥米㐄
獝	犭󰁥󰁻口
獞	犭󰁥立土
獟	犭󰁥土儿
獠	犭󰁥大小
獡	犭󰁥臼灬
獢	犭󰁥丿口
獣	󰀧田一犬
獤	犭󰁥󰁸攵
獥	犭󰁥白攵
獦	犭󰁥艹󰄃
獧	犭󰁥罒󰀔
獨	犭󰁥罒虫
獩	犭󰁥止󰀤
獪	犭󰁥人日
獫	犭󰁥人人
獬	犭󰁥⺈󰀟
獭	犭󰁥木贝
獮	犭󰁥一乂
獯	犭󰁥丿灬
獰	犭󰁥宀丁
獱	犭󰁥宀貝
獲	犭󰁥艹又
獳	犭󰁥󰀙〢
獴	犭󰁥艹󰀓
獵	犭󰁥巛󰁒
獶	犭󰁥丆夂
獷	犭󰁥广八
獸	口口田犬
獹	犭󰁥虍田
獺	犭󰁥木貝
獻	虍一口犬
獼	犭󰁥弓乂
獽	犭󰁥亠󰀔
獾	犭󰁥艹󰁷
獿	犭󰁥丆夂
玀	犭󰁥罒󰁷
玁	犭󰁥口攵
玂	犭󰁥艹斤
玃	犭󰁥目又
玄	亠幺󰁧
玅	亠幺小丿
玆	亠幺亠幺
率	亠幺󰀪十
玈	亠幺𠂉󰀕
玉	王丶󰀦
玊	王丶󰀦
王	王王王王
玌	王乚󰁀
玍	𠂉土󰀘
玎	王丁󰀢
玏	王力󰁥
玐	王八󰁶
玑	王几󰁀
玒	王工󰀝
玓	王勹丶󰁶
玔	王川󰀢
玕	王干󰀢
玖	王ク󰂃󰁶
玗	王一󰀛󰀢
玘	王己󰁀
玙	王一ㄅ一
玚	王ㄋ󰁤󰁥
玛	王󰀊一󰀝
玜	王八厶󰁶
玝	王𠂉十󰀢
玞	王夫󰁶
玟	王文󰁶
玠	王人󰀯󰀢
玡	王󰀄亅丿
玢	王八刀󰁥
玣	王亠卜󰁶
玤	王三丨󰀢
玥	王月󰀝
玦	王ユ人󰁶
玧	王厶儿󰁀
玨	王王󰀝
玩	王二儿󰁀
玪	王人丶乛
玫	王攵󰁶
玬	王󰀼亠󰀝
玭	王󰁴匕󰁀
玮	王二𠃌丨
环	王丆卜󰁶
现	王ㄇ󰁜󰁀
玱	王人⺋󰁀
玲	王人丶󰁻
玳	王亻󰀁丶
玴	王廿󰄃󰁀
玵	王甘󰀝
玶	王一丷十
玷	王󰀥口󰀝
玸	王勹巳󰁀
玹	王亠幺󰁶
玺	⺈小王丶
玻	王皮󰁶
玼	王止匕󰁀
玽	王勹口󰀝
玾	王甲󰀢
玿	王刀口󰀝
珀	王白󰀝
珁	王一󰁐丶
珂	王丁口󰀝
珃	王冂土󰀝
珄	王丿󰀝
珅	王曰丨󰀢
珆	王厶口󰀝
珇	王󰀐一󰀝
珈	王力口󰀝
珉	王󰁂󰀁󰁀
珊	王󰀼󰀼一
珋	王󰁚丿卩
珌	王心丿󰁥
珍	王人彡󰁥
珎	王⺈小󰁶
珏	王王丶󰁶
珐	王土厶󰁶
珑	王ヒ丶
珒	王󰁬󰀟󰀢
珓	王六乂󰁶
珔	王丨子
珕	王力力力
珖	王⺌一儿
珗	王丿土儿
珘	王丿󰁪󰁶
珙	王󰁺八󰁶
珚	王囗大󰁶
珛	王月󰀝
珜	王羊󰀢
珝	王羽󰀝
珞	王夂口󰀝
珟	王几一夕
珠	王丿未󰁶
珡	王王人󰁧
珢	王艮󰁶
珣	王勹日󰀝
珤	王𠂉十凵
珥	王耳󰀝
珦	王丿冂口
珧	王儿󰀪󰁶
珨	王人一口
珩	王彳一丁
珪	王土土󰀝
珫	王亠厶儿
珬	王戊一󰀝
班	王丶丿王
珮	王几一丨
珯	王土丿匕
珰	王⺌彐󰀝
珱	王󰀧女󰀝
珲	王冖车󰀢
珳	王文彡󰁥
珴	王丿扌丶
珵	王口王󰀝
珶	王丷弓丿
珷	王一󰀁丶
珸	王五口󰀝
珹	王戊𠃌󰁀
珺	王󰁬丿口
珻	王𠂉母󰁶
珼	王貝󰁶
珽	王丿士廴
現	王目儿󰁀
珿	王口󰁾󰁶
琀	王人丶口
琁	王𠂉乛󰁾
琂	王言󰀝
球	王一氺丶
琄	王口月󰀝
琅	王丶艮󰁶
理	王曰土󰀝
琇	王禾乃󰁥
琈	王爫子󰀝
琉	王亠厶󰀸
琊	王󰀄亅阝
琋	王乂丨
琌	王山人乛
琍	王禾刂󰀢
琎	王二󰀯辶
琏	王车辶󰁶
琐	王⺌贝󰁶
琑	王⺌月󰀝
琒	王夂三丨
琓	王宀二儿
琔	王宀一󰁾
琕	王白丿十
琖	王戈戈󰁶
琗	王亠人十
琘	王󰁚󰀁日
琙	王戈口󰀞
琚	王尸古󰀝
琛	王冖八木
琜	王木人人
琝	王日文󰁶
琞	日月王丶
琟	王亻󰁷󰀝
琠	王ㄇ󰁺八
琡	王上小又
琢	王一󰀓丶
琣	王立口󰀝
琤	王⺈󰁬亅
琥	王虍几󰁀
琦	王大丁口
琧	一󰀚一丶
琨	王曰󰁴匕
琩	王日曰󰀝
琪	王󰀎八󰁶
琫	王三人󰀟
琬	王宀夕⺋
琭	王󰁭氺󰁶
琮	王宀二小
琯	王宀󰃧󰀝
琰	王火火󰁶
琱	王󰀼土口
琲	王丨三三
琳	王木木󰁶
琴	王王人乛
琵	王王󰁴匕
琶	王王巴󰀅
琷	王⺶乚󰁀
琸	王󰀥早󰀢
琹	王王木󰁧
琺	王氵土厶
琻	王金󰀝
琼	王󰁸小󰁶
琽	王土丿日
琾	王田人󰀯
琿	王冖車󰀢
瑀	王丿口丶
瑁	王󰀰目󰀝
瑂	王󰁅目󰀝
瑃	王三人日
瑄	王宀一一
瑅	王日一󰁾
瑆	王日丿
瑇	王母󰁶
瑈	王󰁻乛木
瑉	王󰁂󰀁日
瑊	王戊一口
瑋	王󰁆口㐄
瑌	王丆冂大
瑍	王⺈ㄇ大
瑎	王󰁴匕白
瑏	王宀八丿
瑐	王䒑月刂
瑑	王彑󰀓󰁶
瑒	王日一󰁤
瑓	王木󰀹󰀝
瑔	王白水󰁶
瑕	王󰁃丨又
瑖	王丿丨又
瑗	王爫一又
瑘	王耳阝󰀢
瑙	王巛丿乂
瑚	王古月󰀝
瑛	王艹ㄇ大
瑜	王人一刂
瑝	王白王󰀝
瑞	王山丆〢
瑟	王王心丿
瑠	王󰁚丶田
瑡	王丿󰃧丨
瑢	王宀八口
瑣	王⺌貝󰁶
瑤	王󰁝𠂉凵
瑥	王日皿󰀝
瑦	王󰁞灬󰁶
瑧	王三人禾
瑨	王一业日
瑩	火火冖丶
瑪	王󰀋灬󰁶
瑫	王爫臼󰀝
瑬	氵亠厶丶
瑭	王广󰁬口
瑮	王覀木󰁶
瑯	王丶󰁮阝
瑰	王白󰁜厶
瑱	王十󰀣八
瑲	王人丶口
瑳	王⺶工󰀝
瑴	士冖一又
瑵	王又丶虫
瑶	王爫𠂉凵
瑷	王爫冖又
瑸	王宀丘八
瑹	王艹人朩
瑺	王⺌冖丨
瑻	王毌貝󰁶
瑼	王一曰寸
瑽	王彳人󰁾
瑾	王廿口
瑿	匚𠂉大丶
璀	王山亻󰁷
璁	王丿囗心
璂	王󰀎八土
璃	王亠乂厶
璄	王立曰儿
璅	王巛曰木
璆	王羽人彡
璇	王方𠂉󰁾
璈	王󰁡攵
璉	王車辶󰁶
璊	王廿冂丶
璋	王立早󰀢
璌	王宀一八
璍	王艹一󰀟
璎	王贝贝女
璏	王彑󰁴匕
璐	王口止口
璑	王𠂉一灬
璒	王癶一䒑
璓	王艹禾乃
璔	王丷󰀺日
璕	王彐工寸
璖	王氵匚木
璗	氵曰一丶
璘	王米夕㐄
璙	王大丷小
璚	王󰁻乛口
璛	王󰁬十󰀲
璜	王󰁺由八
璝	王口丨貝
璞	王业䒑夫
璟	王曰󰁸小
璠	王丿米田
璡	王亻󰁷辶
璢	王一〢田
璣	王幺幺人
璤	王一曰心
璥	王艹勹攵
璦	王爫冖夂
璧	尸口辛丶
璨	王󰀥夕米
璩	王虍一󰀓
璪	王口口木
璫	王⺌冖田
璬	王白方攵
璭	王冖車辶
璮	王亠囗一
璯	王人一日
環	王罒一󰀔
璱	王王王丿
璲	王䒑󰀓辶
璳	王丿未貝
璴	王木木󰁾
璵	王󰀗一八
璶	王󰁬丨皿
璷	王甫方攵
璸	王宀一貝
璹	王士乛寸
璺	󰀗ㄇ一丶
璻	王羽亠十
璼	王匚丨皿
璽	一八冂丶
璾	王󰀴󰀳󰀝
璿	王󰀥冖目
瓀	王󰀙丆〢
瓁	王艹亻又
瓂	王艹土皿
瓃	王田田田
瓄	王士罒貝
瓅	王白幺木
瓆	王斤斤貝
瓇	王丆󰀐夂
瓈	王禾勹氺
瓉	王夫夫貝
瓊	王⺈ㄇ夂
瓋	王亠丷辶
瓌	王亠罒󰀔
瓍	王阝辶
瓎	王木口貝
瓏	王立月三
瓐	王虍田皿
瓑	王厂禾止
瓒	王丿土贝
瓓	王門木󰀹
瓔	王貝貝女
瓕	弓一八丶
瓖	王亠口󰀔
瓗	王山亻口
瓘	王艹口󰁷
瓙	王士乛灬
瓚	王丿土貝
瓛	王虍一犬
瓜	⺁厶󰂃󰀦
瓝	⺁厶󰂃丶
瓞	⺁厶󰂃夫
瓟	⺁厶󰂃巳
瓠	大二ㄅ󰂃
瓡	土䒑十󰂃
瓢	覀二小󰂃
瓣	辛⺁厶辛
瓤	亠口口󰂃
瓥	⺁厶󰂃虫
瓦	一󰁐󰁊丶
瓧	一󰁐󰁊十
瓨	工一󰁐丶
瓩	一󰁐󰁊十
瓪	一󰁐󰁊又
瓫	八刀一丶
瓬	方一󰁐丶
瓭	冖󰁜一丶
瓮	八厶一丶
瓯	匚乂一丶
瓰	一󰁐󰁊刀
瓱	一󰁐󰁊毛
瓲	一󰁐󰁊乚
瓳	古一󰁐丶
瓴	人丶󰁻丶
瓵	厶口一丶
瓶	䒑廾一丶
瓷	冫⺈人丶
瓸	一󰁐󰁊日
瓹	口月一丶
瓺	󰂞一󰁐丶
瓻	乂冂丶
瓼	一󰁐󰁊土
瓽	⺌冖口丶
瓾	禾女一丶
瓿	立口一丶
甀	ノ一艹丶
甁	丿一丶
甂	丶尸冂丶
甃	禾火一丶
甄	覀土一丶
甅	一󰁐󰁊土
甆	䒑幺幺丶
甇	火火冖丶
甈	丿目木丶
甉	䒑󰁬〢丶
甊	󰀻女一丶
甋	亠丷冂丶
甌	匚口口丶
甍	艹罒冖丶
甎	一曰丨丶
甏	士口䒑丶
甐	米夕㐄丶
甑	丷󰀺日丶
甒	𠂉一󰀷丶
甓	尸口辛丶
甔	⺈厂八丶
甕	亠󰁲丿丶
甖	貝貝一丶
甗	虍一口丶
甘	甘一丨一
甙	󰀁甘丶󰀦
甚	󰀎八󰄃󰀅
甛	甘丿古󰀝
甜	丿古甘󰀝
甝	虍几甘󰀌
甞	⺌冖口甘
生	丿󰀌
甠	日丿󰀝
甡	丿丿
產	文厂丿
産	立丿丿
甤	一󰀓丿
甥	丿田力
甦	一曰乂
甧	丿丿月
用	用丿𠃌丨
甩	月乚󰁫
甪	丿用󰀵
甫	甫一丨丶
甬	󰁻用󰀬
甭	丆卜用󰀬
甮	勹󰁤用󰀬
甯	宀心用󰀬
田	田田田田
由	由丨󰁈一
甲	甲丨󰁈丨
申	曰丨󰀵
甴	ㄇ丨二󰀌
电	曰乚󰁫
甶	丿田󰀌
男	田力󰁣
甸	勹田󰀌
甹	由一ㄅ󰀅
町	田丁󰀢
画	一田凵󰀬
甼	田丁󰀬
甽	田川󰀢
甾	巛田󰀘
甿	田亠󰄃󰁀
畀	田一󰀯󰀬
畁	由一󰀯󰀬
畂	田ク󰂃󰁶
畃	曰丨勹丶
畄	󰀧田󰀘
畅	曰丨ㄋ󰁤
畆	亠田厶󰁶
畇	田勹冫󰀝
畈	田⺁又󰁶
畉	田夫󰁶
畊	田二󰀯󰀢
畋	田攵󰁶
界	田人󰀯󰀬
畍	田人󰀯󰀢
畎	田犬󰁶
畏	田一󰀖󰁧
畐	一口田󰀘
畑	火田󰀝
畒	亠田人󰁶
畓	水田󰀘
畔	田丷󰀟󰀢
畕	田田󰀘
畖	田⺁厶󰂃
畗	󰁸田󰀘
畘	田冂土󰀝
留	󰁚丶刀田
畚	厶大田󰀘
畛	田人彡󰁥
畜	亠幺田󰀘
畝	亠田ク󰂃
畞	十田ク󰂃
畟	田八夂󰁧
畠	白田󰀘
畡	田亠ㄥ人
畢	曰艹󰀟󰀵
畣	人一口田
畤	田土寸󰁶
略	田夂口󰀝
畦	田土土󰀝
畧	田夂口󰀘
畨	米田󰀘
畩	田亠󰀔󰁶
番	丿米田󰀘
畫	󰁬土田一
畬	人一朩田
畭	田人一朩
畮	田𠂉母󰁶
畯	田厶八夂
異	田󰁺八󰁧
畱	一〢匚田
畲	人二小田
畳	田冖󰀐一
畴	田三丿寸
畵	󰁬土田凵
當	⺌冖口田
畷	田又又又
畸	田大丁口
畹	田宀夕⺋
畺	一田一一
畻	田丷夫土
畼	田日一󰁤
畽	田丿一土
畾	田田田󰀘
畿	幺幺戈田
疀	巛田一󰁾
疁	田羽人彡
疂	田󰀪冖一
疃	田立曰土
疄	田米夕㐄
疅	田一田一
疆	弓土一一
疇	田士乛寸
疈	一口田田
疉	田田田彑
疊	田田田一
疋	乛󰁾󰀦
疌	一󰁬󰁾󰀦
疍	乛󰁾曰一
疎	乛止木口
疏	乛止亠󰀸
疐	十冖田󰁾
疑	匕𠂉大󰁾
疒	疒丶一󰀞
疓	疒乃󰀏
疔	疒丁󰀵
疕	疒匕󰁫
疖	疒ㄗ󰀵
疗	疒了󰀵
疘	疒工󰀌
疙	疒𠂉乙󰁫
疚	疒ク󰂃󰀦
疛	疒寸󰀦
疜	疒一卜󰀦
疝	疒山󰀵
疞	疒二ㄅ󰁫
疟	疒匚一󰀌
疠	疒一󰁡󰀏
疡	疒ㄋ󰁤󰀏
疢	疒火󰀦
疣	疒乚丶
疤	疒巴󰁫
疥	疒人󰀯󰀵
疦	疒ユ人󰀦
疧	疒󰁚󰀁󰁫
疨	疒󰀄亅丿
疩	疒九十󰀵
疪	疒󰁴匕󰁫
疫	疒几又󰀦
疬	疒厂力󰀏
疭	疒人人󰀦
疮	疒人⺋󰁫
疯	疒几乂󰀦
疰	疒丶王󰀌
疱	疒勹巳󰁫
疲	疒皮󰀦
疳	疒甘󰀌
疴	疒丁口󰀌
疵	疒止匕󰁫
疶	疒廿󰄃󰁫
疷	疒󰁚󰀁丶
疸	疒曰一󰀌
疹	疒人彡󰀏
疺	疒丿之󰀦
疻	疒口八󰀦
疼	疒夂󰁦󰀦
疽	疒󰀐一󰀌
疾	疒𠂉大󰀦
疿	疒弓󰀯󰀵
痀	疒勹口󰀌
痁	疒󰀥口󰀌
痂	疒力口󰀌
痃	疒亠幺󰀦
痄	疒𠂉丨二
病	疒一冂人
痆	疒尸匕󰁫
症	疒一止󰀌
痈	疒用󰀵
痉	疒ス工󰀌
痊	疒人王󰀌
痋	疒虫󰀦
痌	疒冂一口
痍	疒一弓人
痎	疒亠ㄥ人
痏	疒月󰀌
痐	疒囗口󰀌
痑	疒夕夕󰀦
痒	疒羊󰀵
痓	疒一厶土
痔	疒土寸󰀦
痕	疒艮󰀦
痖	疒一业󰀌
痗	疒𠂉母󰀦
痘	疒一口䒑
痙	疒一巛工
痚	疒土丿子
痛	疒󰁻用󰀵
痜	疒禾几󰁫
痝	疒乚丶
痞	疒丆卜口
痟	疒⺌月󰀌
痠	疒厶八夂
痡	疒甫󰀦
痢	疒禾刂󰀵
痣	疒士心󰀦
痤	疒人人土
痥	疒丷口儿
痦	疒五口󰀌
痧	疒氵小丿
痨	疒艹冖力
痩	疒曰丨又
痪	疒⺈ㄇ大
痫	疒门木󰀦
痬	疒曰勹󰁤
痭	疒月月󰀌
痮	疒󰀍󰀖󰀦
痯	疒宀󰃧󰀌
痰	疒火火󰀦
痱	疒丨三三
痲	疒十儿儿
痳	疒木木󰀦
痴	疒𠂉大口
痵	疒禾子󰀌
痶	疒ㄇ󰁺八
痷	疒大曰乚
痸	疒𠂉一刂
痹	疒田一󰀯
痺	疒白丿十
痻	疒󰁚󰀁日
痼	疒囗古󰀌
痽	疒亻󰁷󰀌
痾	疒阝丁口
痿	疒禾女󰀌
瘀	疒方人󰁦
瘁	疒亠人十
瘂	疒一󰀚一
瘃	疒一󰀓丶
瘄	疒󰁺日󰀌
瘅	疒丷曰十
瘆	疒厶大彡
瘇	疒丿一土
瘈	疒三丨大
瘉	疒人一刂
瘊	疒亻ユ大
瘋	疒几丿虫
瘌	疒木口刂
瘍	疒曰一󰁤
瘎	疒󰀎八󰄃
瘏	疒土丿日
瘐	疒臼人󰀦
瘑	疒冂󰁈口
瘒	疒冖車󰀵
瘓	疒⺈ㄇ大
瘔	疒艹古󰀌
瘕	疒󰁃丨又
瘖	疒立日󰀌
瘗	疒一丷土
瘘	疒米女󰀌
瘙	疒又丶虫
瘚	疒䒑凵人
瘛	疒三丨心
瘜	疒丿目心
瘝	疒罒󰀫󰀦
瘞	疒大人土
瘟	疒曰皿󰀌
瘠	疒󰀪人月
瘡	疒人丶口
瘢	疒丿󰁪又
瘣	疒白󰁜厶
