⺁	⺁丿丿
㜅	女亠幺田
㜆	女米辶󰁶
㜇	女土土心
㜈	󰁻乛亅女
㜉	女巛口巴
㜊	女尸󰁺󰀖
㜋	女䒑八皿
㜌	士冖一又
㜍	女广󰁬口
㜎	女爫幺大
㜏	女口貝󰁶
㜐	女山一䒑
㜑	氵甫女󰀘
㜒	女臼廾󰀢
㜓	女艹人口
㜔	女立口儿
㜕	女車辶󰁶
㜖	女一ㄇ日
㜗	女厶厶彡
㜘	女虍󰀐一
㜙	女󰁙󰁴匕
㜚	女宀亻日
㜛	女車⺈人
㜜	女󰁡攵
㜝	女人丶一
㜞	車斤女󰀘
㜟	女乛耳攵
㜠	女山亻󰁷
㜡	女彳人󰁾
㜢	女󰀻女󰀝
㜣	女󰁝犬灬
㜤	女覀早󰀢
㜥	女罒貝󰁶
㜦	女彐工寸
㜧	女厂䒑人
㜨	女尸氺󰀟
㜩	女丿ㄇ大
㜪	立朩斤女
㜫	女彳山攵
㜬	女⺈厂言
㜭	女⺌冖田
㜮	女匚丨皿
㜯	女匚丨灬
㜰	女白幺木
㜱	女斤斤貝
㜲	女󰄹月丶
㜳	女亠罒󰀔
㜴	女一ㄇ目
㜵	女亠󰀋󰀔
㜶	女⺈口丶
㜷	弓一八女
㜸	艹丿󰃧女
㜹	女目目󰁷
㜺	女丿土貝
㜻	女言糹心
㜼	女又又一
㜽	巛子󰀘
㜾	孑人󰀯󰀢
㜿	孑󰁻乛亅
㝀	母子󰀝
㝁	勹日子󰀘
㝂	孑扌斤󰀢
㝃	孑⺈口󰁜
㝄	󰁸孑一乚
㝅	士冖一又
㝆	孑士口口
㝇	󰁸孑󰁸子
㝈	言糹糹子
㝉	宀一󰀘
㝊	宀又󰁧
㝋	宀了󰀬
㝌	宀ク󰂃󰁧
㝍	宀一ㄅ一
㝎	宀之󰁧
㝏	宀人󰀯󰀬
㝐	宀八厶󰁧
㝑	宀方󰁣
㝒	宀古󰀘
㝓	宀人一口
㝔	宀六乂󰁧
㝕	宀心又󰁧
㝖	宀夕夕󰁧
㝗	宀丶艮󰁧
㝘	宀言󰀘
㝙	宀王一八
㝚	宀丿󰀥廴
㝛	宀亻一人
㝜	宀󰁺日󰀘
㝝	宀木木󰁧
㝞	宀一󰀚一
